Title,Author,Genre,Tone,Pace,Protagonist,Ending,Action/Dev,Romance,Twist,Supernatural,Setting,Length,Style,Theme
The Hunger Games,Suzanne Collins,Science Fiction / Fiction / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fantasy,Romantic,NA,NA,NA,Action,NA,NA,NA,NA,Medium (300-500 pages),NA,Science Fiction / Survival / Love / Romance / Adventure / Fantasy
A Study in Scarlet,Arthur Conan Doyle,Fiction / Mystery / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,NA,Short (150-300 pages),NA,Adventure / Science Fiction
The Call of the Wild,Jack London,Comic / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure / Science Fiction / Fantasy / Historical
The Return of Sherlock Holmes,Arthur Conan Doyle,Mystery / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction / Adventure
Northern Lights,Philip Pullman,Fiction / Fantasy / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Horror,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms / Nature-based / Wilderness Adventure,Very Short (< 150 pages),NA,Adventure / Fantasy / Science Fiction / Horror / Survival
Women in Love,D. H. Lawrence,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium (300-500 pages),NA,Love / Romance / Friendship / Science Fiction / Fantasy
The Age of Innocence,Edith Wharton,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Drama,Dramatic,NA,NA,NA,NA,NA,NA,NA,Historical / Modern-Day / Contemporary Settings / Nature-based / Wilderness Adventure,NA,NA,Science Fiction / Love / Romance / Historical / Coming of Age
His Last Bow [8 stories],Arthur Conan Doyle,Mystery / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Science Fiction / Historical / Mystery / Thriller / Adventure
The Kite Runner,Khaled Hosseini,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Drama,Dramatic,NA,NA,Sad,NA,NA,NA,Realistic,Historical,NA,NA,Friendship / Science Fiction / Historical / Coming of Age
La Poetica,Aristotle,Poetry / Folklore,NA,NA,NA,NA,NA,NA,NA,NA,NA,Long (500-700 pages),NA,NA
Lolita,Vladimir Nabokov,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Drama,Dramatic,NA,NA,NA,NA,NA,NA,Love them,NA,Long (500-700 pages),NA,Science Fiction / Love / Romance
Treasure Island,Robert Louis Stevenson,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Comic / Fantasy / Poetry,Suspenseful,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms / Historical,NA,NA,Science Fiction / Adventure / Fantasy / Historical / Mystery / Thriller
The Handmaid's Tale,Margaret Atwood,Fantasy / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Comic,NA,NA,NA,NA,NA,NA,NA,Neutral,Dystopian / Post apocalyptic,Medium (300-500 pages),NA,Fantasy / Science Fiction / Political / Philosophical
Twilight,Stephenie Meyer,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fantasy / Horror / Comic,NA,NA,NA,NA,Action,NA,NA,Love them,NA,NA,NA,Science Fiction / Fantasy / Horror / Love / Romance / Friendship
Adventures of Huckleberry Finn,Mark Twain,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,Historical,NA,NA,Adventure / Friendship / Humor / Sports / Science Fiction / Coming of Age / Historical
Pickwick Papers,Charles Dickens,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,Character development / Action,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Science Fiction / Victory & Achievement / Friendship / Humor / Adventure / Historical
A Princess of Mars,Edgar Rice Burroughs,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy / Folklore,NA,NA,NA,NA,Action,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction / Fantasy / Adventure
Ulysses,James Joyce,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,NA,Experimental or Non-Linear,Friendship / Science Fiction / Historical / Victory & Achievement
The Sun Also Rises,Ernest Hemingway,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Short (150-300 pages),NA,Historical / Science Fiction
Brood of the Witch-Queen,Sax Rohmer,Fantasy / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Horror,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms / Historical,NA,NA,Fantasy / Science Fiction / Horror / Historical
The Witches,Roald Dahl,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy / Drama,Dramatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction / Humor / Fantasy / Adventure
Guess How Much I Love You,Sam McBratney,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Drama,Dramatic,NA,NA,NA,NA,NA,NA,Love them,NA,NA,NA,Science Fiction / Love / Romance / Adventure / Social Issues / Humor
Matilda,Roald Dahl,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction / Humor / Fantasy
An American Tragedy,Theodore Dreiser,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Mystery,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction / Mystery / Thriller / Historical
The Pearl,John Steinbeck,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,Character development,NA,NA,NA,Historical,Short (150-300 pages),Experimental or Non-Linear,Family Dynamics / Victory & Achievement / Science Fiction / Historical
Middlemarch,George Eliot,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Mystery,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Epic (700+ pages),NA,Science Fiction / Historical / Coming of Age
Catch-22,Joseph Heller,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Drama,Dramatic / Romantic,Fast,NA,NA,NA,NA,NA,NA,Historical,Medium (300-500 pages),NA,Science Fiction / Historical / Love / Romance
The Bell Jar,Sylvia Plath,Poetry / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction
The Tale of Peter Rabbit,Beatrix Potter,Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adventure / Science Fiction
Far From the Madding Crowd,Thomas Hardy,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,NA,NA,Science Fiction / Historical / Love / Romance
The Lost Symbol,Dan Brown,Historical Fiction / Fiction / Narrative Nonfiction / Science Fiction / realistic fiction / nonfiction / Fiction in Verse / Mystery,NA,NA,NA,NA,Action,NA,NA,NA,Historical,Epic (700+ pages),NA,Historical / Science Fiction / Adventure
One Flew Over the Cuckoo's Nest,Ken Kesey,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,NA,Short (150-300 pages),NA,Science Fiction / Friendship
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,Mystery / Fiction / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,Action,NA,NA,NA,NA,NA,NA,Science Fiction / Adventure
The Island of Dr. Moreau,H. G. Wells,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Horror / Comic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Survival / Science Fiction / Horror
Animal Farm,George Orwell,Fiction / Drama / Comic / Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fable,Dramatic / Romantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science Fiction / Love / Romance
Ender's Game,Orson Scott Card,Science Fiction / Fiction / Narrative Nonfiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium (300-500 pages),NA,Science Fiction
Bridge to Terabithia,Katherine Paterson,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction / Fantasy,NA,NA,NA,NA,NA,NA,NA,NA,Fantasy Realms,NA,NA,Science Fiction / Friendship / Grief / Loss / Fantasy
The Portrait of a Lady,Henry James,Narrative Nonfiction / Science Fiction / Historical Fiction / realistic fiction / nonfiction / Fiction in Verse / Fiction,NA,NA,NA,NA,NA,NA,NA,NA,Historical,Long (500-700 pages),NA,Science Fiction / Historical / Love / Romance
